"Text","Target","Source"
"Mommy said not to talk to strangers..but she's drunk all the time why should I listen to her advice?","1.0","SchooshooterTexts"
"1.I was immune to getting hurt/killed/infected with a std
2.I had 43 million worshippers
3.I had a life..","1.0","SchooshooterTexts"
"I mean terrorist attacks happen all the time. Sure thousands died, but millions have died from George. Honestly, it's been almost 10 years and idiots are still whining. 911 did make a lot of idiot patriot extremists in america, you have to give 911 that. I wish another terrorist plane attack would happen so that I could go back to europe and back for 3 cents. Ahh, I remember I was a little kindergartener.. (Could of been 1st grader but I was ""too
young"")","1.0","SchooshooterTexts"
"As a god, it would be my responsibility not to destroy the universal balance; thus, I am unable to just appear instantly. I would need to ""convert"" them to being open minded about other gods and then I will appear. I will give out my 3 main rules:

1.Do not harm any living thing, if you break this rule, I will break your skull.
2.Do not act in violence of any form.
3.Don't be a stuffhead.

I would try to act with any other gods out there, such as if Gaia was real, I would let her take care of her creations, and her earth. I would let Zeus and Poseidon make the hurricanes and earthquakes, and I would let Hades rule the energy of darkness.

I would be sure to ""Educate"" them on solar/wind/water powered technology.","1.0","SchooshooterTexts"
"I am going to grab a knife and shove it in the neck of my mother. I will then drag her dead body by the trash can, drain her blood and then finally cut her and grind her up into little pieces. I will eat some of those pieces and then I will probably barf.. I will throw her body away in the trash can.. I will then go slaughter sacred animals to appease the gods.

HAIL SATAN

..I am agnostic, not satanist..","1.0","SchooshooterTexts"
"I will rape your hot lovey sister and then strangle her with her own hair. Then I will sneakinto your parent's room and slaughter them.. I will slowly walk to your room holding my blood thirsty knife in my right hand.. I walk into your room when I see that you're making out with yourself.. I will grab you, tie you to your bed with your own hair, and super glue it shut.

My blood thirsty crave is not over..

I finally rip your hair out and you experience excruciating pain.. So painful that you scream and scream.. But it can't stop! I ripped out the skin of your head, blood is drooping everywhere.. Finally I pluck your eyes right out with my knife and throw them down.. I then cut your neck off and the arms and legs.. Only the torso remains.. I cut off the genitals and I stab the stomach repeatedly.. I finally finish off by ripping out your heart and consuming it..","1.0","SchooshooterTexts"
"""IWILLNEVERLETYOUFORGETABOUTME""","1.0","SchooshooterTexts"
"Rule 11 : Be nice to nerds. Chances are you'll end up working for one.

Start being nice to me, or I will not hire you all. All of those idiots who have messed up my life in the past, I will hire them for a day, and then fire them.","1.0","SchooshooterTexts"
"2005.. Age 9.. I was playing sm64ds when I lost the level. I went AGK on my ds, threw it extremely hard at a wall and broke it..

2005 Age 9.. After recieving my ds again, a day later, I got pissed again and ripped the upper half of the DS off..

2005 Age 9.. I got my DS Again, but when playing Pokemon, lost and threw it right at the wall again..

The 2005 ones are true.. I had a very bad anger problem.

2009.. Age 13.. After getting another DS, threw it right at the TV and said ""How's that""?","1.0","SchooshooterTexts"
"Look guys I just smoked an entire $500 worth bag of OG Kush so It's hard to hate you. I love furries, gays, jews, al-queda, and america.

●irl● teenage kid with no friends who hates everything and wants to shoot up his school but is too week to fire a gun and my parents are annyoing but will financially supply me for the next 30 years i love to hate and fart a lot making my room smell remnicsant of cheese and boiled eggs

^ All trolls except me.","1.0","SchooshooterTexts"
"Don't play WoW. It turned my brother into a basement dweller and now he's doing weed. He's 24, works at a convenience store and dropped out of high school. MMOs are just the same as Heroin and will destroy not only your body, but your mind.","1.0","SchooshooterTexts"
"I support interesting people and I hope to be internet famous one day.

In short, I'm a hypocritical weeaboo in denial troll who has been cursed into an endless state of constant boredom which has driven me to depression and anger.","1.0","SchooshooterTexts"
"The shortest I can describe trolls: Trolls are basically young teenagers who 'bully' online to get a raise because they have a personality disorder and want to cover up the hole that real bullies left in their emotion.","1.0","SchooshooterTexts"
"I would kill Tidus and the methods of doing this may offend many of you.

I would start off by crusifying him and leaving him without food for a total of three days, afterwards I would force him to eat rats. I would apply 1,000 small cuts throughout his body and dip him in a tub of Hydrogen Peroxide. Afterwards, I would recut the wounds and apply a scorpion's sting to 30 of them over a time period of 2 hours after which I would nurse his health a tad. Next, I would rip his nails out and pour bleach and ammonia on them while making sure he doesn't inhale any. I would shoot him in his knee with a crossbow and since I'm an honorable man I would make this the last of his punishment. A quick sword blow to his chest and a large + incision to his belly would do the trick.

I would leave him in pain for the remainder of his very short life to allow him to reflect on
his personality.","1.0","SchooshooterTexts"
"Jack a gun and shoot myself in the head.","2.0","SchooshooterTexts"
"Every personality disorder test I take I usually end up getting over half of them at a severe level and I'm being honest most of the time.","1.0","SchooshooterTexts"
"Hey, I'm eldigato. In short, I am a psychopath dedicated to the art of destruction. In my years of minecraft, I have always aimed to make interesting stories. I have always done my deeds solo and for that reason they never reached the peak I had hoped for. That is why I have registered here today.. In hopes that I can work with people with similar intentions and cause many great calamities.

Resume

Griefing: I like to take my time in order to cause the most damage, but I have attacked many servers with a hit-and-run style of disruption before and caused massive amounts of damage. I would like to say that my best griefing attack was the Scattered Space incident, although the damage wasn't intense compared to most of my attacks on servers, I stirred up plenty of drama in their community.

Cooperation: I would like to think myself as that of a rogue in many situations, but I have shown to be able to work with others. Considering our personalities, I don't think I would have any troubles with group raiding.

Admins: I can bullshit my way out of things, but I am a honest man. If I focus, I can have a silver tounge that avoids truthfulness.

I hope that this information is enough to provide and I hope in the future I can infest the world one day.","1.0","SchooshooterTexts"
"I would cut as many veins in his neck as I could, avoiding his jugular.","1.0","SchooshooterTexts"
"My guilty pleasure is probably DMT, but it's ok since it's amazingly god.","1.0","SchooshooterTexts"
"My dream job would have to involve synthesizing pure LSD legally and selling it to the right kind of people who wouldn't abuse it.","1.0","SchooshooterTexts"
"I will be living in a basement pretty soon, once I'm finished moving in with my bro.","1.0","SchooshooterTexts"
"I played this game while on marijuana, LSD, Salvia, and Shrooms. I can honestly say that once you're experienced with the types, you can handle it, as long as you have a sitter to help calm you down when creepy stuff happens.","1.0","SchooshooterTexts"
"If all of the internet went out, people would go psycho and kill eachother and hang mutilated corpses from their town's bridges.","1.0","SchooshooterTexts"
"I'd go back in time and stop a lot of the school shootings such as Columbine or V-Tech by being a positive influence spreading hope in the minds of the shooters and keep them on a path of enlightenment

or more realistically, I'd clean up trash around my town (which I already do) and volunteer at places. Oh, and befriend the lonely or friendless kids at school.","1.0","SchooshooterTexts"
"Dropping out of High School in order to just study a GED book my SCI teacher gave me and take the test when I feel ready and then move onto college, while working on fixing myself and learning how to be happy for once, and overcoming a tobacco addiction.","1.0","SchooshooterTexts"
"14 year old boys, people who say they're nerd to be cool, 'nerds' and 'geeks' whose favorite star wars movies are I, II, or III, cats, friends parents, parents, peers, adults, demons and ghosts, viruses, aliens, illegal aliens, rednecks, people who capitalize the beginning of every word of their sentences, people who talk on and on and still think you're listening even though you're in another room, people who yell, republicans, liberals, annoying gay people, stoners 18- who smoke crap and ***** and moan at you about their 'chronic' crap 24/7 and try to be super cool, mental illness, living with depression, matrixing, abandoned houses, 5:07, columbine, food impurities, stupid or evil cultures, people with UAAS (uptight arrogant ******* syndrome), kids who think they're 90s kids even though they were 90s toddlers at best and nowadays are really 90s infants, drunk people, fat bosses, isolation, having a long distance brolationship.","1.0","SchooshooterTexts"
"I got suspended from school for a week in april for wearing a black duster.","1.0","SchooshooterTexts"
"July 26th, 2012

In my dream, I went into a bizarre dimension with blue spots in terrain, Rocky Black and grey terrain, and a cloudy black sky. I didn't see the sky, but out of nowhere, a powerful being appeared to me, and the sky had a thin plate of volcanic, powerful orange (gaseous like) material. The being spoke to me words with power, which I can't really recall. In my next dream, I was awake, in my bed, and there was an alien there. I was being hooked with wires to my brain, sort of feeding me information. It was feeding me dreams within my own dream, kind of like inception. In this dream thing, I was studying the possible amount of dreams. There was a chart, like the audacity ogg vorbis specs one. There was a limit to dreams and personality, according to the info.

The info I remember is:

Personality: 136,742

Dreams: 144 million or more (relative to your body? Or could it be more?)

There was another dream about school. See, last year, I dropped back in after dropping out from absolute f'ing hell. I usually saw this poor bloke while passing to the next class. Probably 14 or 15, but he barely did anything to warrant any bullying, yet he got so much ♥♥♥♥ for everything. I've probably interacted with the kid 3 times; the 1st was seeing some of my friends trying to cheer him up, the 2nd was seeing him get ♥♥♥♥ed with by some jock idiots, in which I pulled a knife on them and intimidated them into leaving, and the 3rd was where he had this delicate science project, so I basically daunted the idiots in the middle of the hallway into getting to class and made sure that this kid's project wasn't ruined by D-bags.

In my thoughts, I could just see myself at an earlier age in the kid. So, the dream directed my mind into the social 'chart' of the kid and the students in general, in which I just kind of got a broader social look in people; i.e. being able to 'put myself into other people's shoes'. I worked and thought and came up with a moral that I really need to reach that kid and prevent anything bad from happening, because I don't want someone to have to deal with the mentality that can develop from that.

The dream flashed to another dream, which was a type of mind probe in a way. I just felt like I was being read. I was having to face my own flaws in a very disturbing and hostile state of REM.

I kind of woke up and still felt the alien type thing (Probably caused from human natural DMT from last sentence) glaring at me. It kind of had that 'snobby' or arrogant type of personality seen from some reports of aliens. While I woke up, that thing kind of faded off probably due to the release of DMT stopping.

Just for reference, I haven't done DMT or LSD. I've been clean from any type of drug (Tobacco / Alcohol / weed) for 3 months before that dream.","1.0","SchooshooterTexts"
"My psychiatrist told me I need to look on the bright side of things..","1.0","SchooshooterTexts"
"Only 30% of the global population is capable of having any control over anyone. Of which, only 30% are deserving of having any of it at all, of which, only 10% should actually have the power","1.0","SchooshooterTexts"
"Major Depression, inability to feel joy, intense levels of sadistic desire and various addictions to substances.","1.0","SchooshooterTexts"
"It's an autisk

it will bite you and infect you with autism and the only way to cure yourself is to stop playing building games for a year.","1.0","SchooshooterTexts"
"I am in the top 3% of my shit redneck school, but that really isn't an accomplishment..","1.0","SchooshooterTexts"
"Stuff I want for my birthday 30 arbys sandwitches that is all!","1.0","SchooshooterTexts"
"AK > M16/4

at least my AK will kill what I shoot
and wont jam on me
or need special cleaning

Also remember that guns are LOUD AS FUCK
a shotgun blast without hearing protection could make you permanently deaf.
even a .22 is loud enough to be heard for a 1km radius at least.

Guns are extremely loud, extremely deadly and need to be respected.

A suppressed gun is still loud. Only an Oil Filter + .22 subsonic will be truly 'silenced'","1.0","SchooshooterTexts"
"child soldiers are cool i wish i coulda been one","1.0","SchooshooterTexts"
"I think the college system and american society needs a massive change. I don't see the point in dishing out $30k a year just to get into college, only for most people to either drop out or get a useless degree, or something they're not entirely interested in.

I don't think everything should be free, but there's one thing that absolutely must be - Education. Primary and Secondary school is free for students, which is excellent because every human deserves the chance and the right to be educated.

Yet in college, most the time it's going into a huge room with a hundred other students,taking notes of what the professor says, and then studying your ass off to try to actually pass the class. A lot of times, the teachers aren't even good at teaching in the first place.

Yet in Elementary ~ High, you have teachers working their ass off, helping each student at the rise of a hand.

So normally school only costs tax payers. You get all the help you need for free, during class. You can fuck up all you want.

College, you pay a FUCKLOAD of $$$ for, get shitty teachers, have to do everything yourself, and have a low chance of success.

In america, College is Bullshit!
","1.0","SchooshooterTexts"
"I can't believe it's been 8 whole years since then.. Most of 2007 didn't go too well for me either, but when I went back to school late that year it was like post-columbine all over again.","1.0","SchooshooterTexts"
